doc_id,path,filename,source_kind,source_label,generation,variant_no,product_alias,sales_start_ym,sales_end_ym,is_current,coverage_name
coverage_criteria__4세대__01,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__4세대__01.md,coverage_criteria__4세대__01.md,coverage_criteria,담보별 보상기준,4세대,1,4세대실손,202107,,true,기본형(상해∙질병 급여형)
coverage_criteria__4세대__02,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__4세대__02.md,coverage_criteria__4세대__02.md,coverage_criteria,담보별 보상기준,4세대,2,4세대실손,202107,,true,특약형(상해∙질병 비급여형)
coverage_criteria__4세대__03,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__4세대__03.md,coverage_criteria__4세대__03.md,coverage_criteria,담보별 보상기준,4세대,3,4세대실손,202107,,true,특약형(3대비급여형)
coverage_criteria__기타실손__01,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__기타실손__01.md,coverage_criteria__기타실손__01.md,coverage_criteria,담보별 보상기준,기타실손,1,유병자실손(참편한),201804,,true,유병력자 실손의료비 | (상해∙질병입원/외래형)
coverage_criteria__기타실손__02,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__기타실손__02.md,coverage_criteria__기타실손__02.md,coverage_criteria,담보별 보상기준,기타실손,2,노후실손,201408,,true,기본형(상해∙질병형)
coverage_criteria__기타실손__03,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__기타실손__03.md,coverage_criteria__기타실손__03.md,coverage_criteria,담보별 보상기준,기타실손,3,노후실손,201408,,true,특약형(요양병원)
coverage_criteria__기타실손__04,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__기타실손__04.md,coverage_criteria__기타실손__04.md,coverage_criteria,담보별 보상기준,기타실손,4,노후실손,201408,,true,특약형(상급병실차액)
injury_exclusion__1세대__01,/mnt/data/silsone_rag_package/search_docs_md/injury_exclusion__1세대__01.md,injury_exclusion__1세대__01.md,injury_exclusion,상해 면책사항,1세대,1,신계약,200310,200907,false,일반상해의료비 | 실제본인부담액 100%
injury_exclusion__1세대__02,/mnt/data/silsone_rag_package/search_docs_md/injury_exclusion__1세대__02.md,injury_exclusion__1세대__02.md,injury_exclusion,상해 면책사항,1세대,2,신계약,200310,200907,false,상해(입원/통원) | 환자부담총액 100%
injury_exclusion__2세대__01,/mnt/data/silsone_rag_package/search_docs_md/injury_exclusion__2세대__01.md,injury_exclusion__2세대__01.md,injury_exclusion,상해 면책사항,2세대,1,표준화 실손(신신계약),200908,201512,false,(선택형)실제본인부담금×90% | [2015.09 변경] | (표준형)본인부담금×80% | (선택형Ⅱ)급여90%+비급여80%
injury_exclusion__2세대__02,/mnt/data/silsone_rag_package/search_docs_md/injury_exclusion__2세대__02.md,injury_exclusion__2세대__02.md,injury_exclusion,상해 면책사항,2세대,2,개정실손(1601),201601,201703,false,(표준형) 실제본인부담금x80% | (선택형Ⅱ)급여90%+비급여80%
injury_exclusion__3세대__01,/mnt/data/silsone_rag_package/search_docs_md/injury_exclusion__3세대__01.md,injury_exclusion__3세대__01.md,injury_exclusion,상해 면책사항,3세대,1,착한실손(1704),201704,202106,false,(1704)기본형+특약형(3대비급여) | 기본형 : (표준형) 실제본인부담금x80% | (선택형Ⅱ)급여90%+비급여80%
injury_exclusion__4세대__01,/mnt/data/silsone_rag_package/search_docs_md/injury_exclusion__4세대__01.md,injury_exclusion__4세대__01.md,injury_exclusion,상해 면책사항,4세대,1,4세대실손,202107,,true,"(2107)기본형(급여x80%)+특약형(비급여x70%,3대비급여)"
disease_exclusion__1세대__01,/mnt/data/silsone_rag_package/search_docs_md/disease_exclusion__1세대__01.md,disease_exclusion__1세대__01.md,disease_exclusion,질병 면책사항,1세대,1,신계약,200310,200907,false,환자부담총액×80% | (500/800만원 한도)
disease_exclusion__1세대__02,/mnt/data/silsone_rag_package/search_docs_md/disease_exclusion__1세대__02.md,disease_exclusion__1세대__02.md,disease_exclusion,질병 면책사항,1세대,2,신계약,200310,200907,false,환자부담총액×100%
disease_exclusion__2세대__01,/mnt/data/silsone_rag_package/search_docs_md/disease_exclusion__2세대__01.md,disease_exclusion__2세대__01.md,disease_exclusion,질병 면책사항,2세대,1,표준화 실손(신신계약),200908,201512,false,(선택형)실제본인부담금×90% | ▶2015.09 변경 | (표준형)본인부담금×80% | (선택형Ⅱ)급여90%+비급여80%
disease_exclusion__2세대__02,/mnt/data/silsone_rag_package/search_docs_md/disease_exclusion__2세대__02.md,disease_exclusion__2세대__02.md,disease_exclusion,질병 면책사항,2세대,2,개정실손(1601),201601,201703,false,(표준형) 실제본인부담금x80% | (선택형Ⅱ)급여90%+비급여80%
disease_exclusion__3세대__01,/mnt/data/silsone_rag_package/search_docs_md/disease_exclusion__3세대__01.md,disease_exclusion__3세대__01.md,disease_exclusion,질병 면책사항,3세대,1,착한실손(1704),201704,202106,false,(1704)기본형+특약형(3대비급여) | 기본형 : (표준형) 실제본인부담금x80% | (선택형Ⅱ)급여90%+비급여80%
disease_exclusion__4세대__01,/mnt/data/silsone_rag_package/search_docs_md/disease_exclusion__4세대__01.md,disease_exclusion__4세대__01.md,disease_exclusion,질병 면책사항,4세대,1,4세대실손,202107,,true,"(2107)기본형(급여x80%)+ | 특약형(비급여x70%,3대비급여)"
